id,lon,lat
370490166,-123.0696732,49.2737342
432429646,-123.120037,49.2662618
471722561,-123.140711,49.2081588
496795160,-123.126855,49.1952739
496795161,-123.1271177,49.195149
496795162,-123.1273764,49.1950384
496795163,-123.127086,49.1949387
496795164,-123.126822,49.1950534
496795165,-123.126575,49.1951668
496795166,-123.1261837,49.1955959
615065410,-123.160488,49.2640594
615967551,-123.157549,49.2572813
615967552,-123.158056,49.2574435
615967553,-123.157281,49.2638009
615967554,-123.155522,49.2639554
615967555,-123.161948,49.2638917
615967557,-123.184591,49.2577635
615967559,-123.168506,49.2572325
615967561,-123.208663,49.2637545
615967562,-123.209635,49.2639107
615967566,-123.200488,49.2637745
615967568,-123.19981,49.263596
615967569,-123.203372,49.2638218
615967570,-123.205602,49.2636985
615967571,-123.18601,49.2636989
615967572,-123.185733,49.2638131
615967573,-123.185261,49.2642724
615967574,-123.193436,49.2635171
615967575,-123.197221,49.2637141
615967576,-123.167484,49.2641772
615967577,-123.167293,49.2639788
615967578,-123.16888,49.2641754
660434616,-123.13797,49.2694862
660544734,-123.165205,49.264103
685755414,-123.153566,49.2639395
685755425,-123.151981,49.2637099
691132866,-123.203386,49.2583678
691132867,-123.209458,49.2584729
691132870,-123.170577,49.2578777
691132871,-123.174592,49.2579285
691132872,-123.178162,49.2579617
691132873,-123.191359,49.2581648
691132874,-123.197592,49.2582715
691132878,-123.168826,49.2578385
691132879,-123.165228,49.2577306
700713958,-123.077989,49.2326155
710860369,-123.065974,49.2196441
710860386,-123.065743,49.220655
710860389,-123.065974,49.2214616
710860410,-123.065896,49.2148235
710860427,-123.0658264,49.2168971
710860441,-123.066054,49.2177573
710860455,-123.065829,49.2183705
710860500,-123.066097,49.2150852
710860508,-123.065961,49.2127441
710860516,-123.066146,49.2129925
710860560,-123.065336,49.2250961
710872327,-123.066175,49.211176
710872335,-123.06543,49.2104709
710872341,-123.066497,49.2099534
710872346,-123.065472,49.2093249
710872352,-123.067409,49.2099814
710872367,-123.065778,49.2106683
724596928,-123.153564,49.2573417
724596943,-123.152833,49.257661
724596966,-123.152959,49.2584598
724596968,-123.152042,49.2572085
724596970,-123.153198,49.2588519
724597015,-123.153199,49.2606506
725635454,-123.1556338,49.2360599
725635457,-123.153238,49.25117
725635458,-123.153128,49.2550289
725635460,-123.15547,49.2399676
725635462,-123.153459,49.2449449
725635463,-123.15311,49.2532542
725635466,-123.153606,49.2426432
725635467,-123.15303,49.2569208
725635470,-123.153362,49.2480758
725635473,-123.1555644,49.2380066
725635474,-123.153412,49.2514509
725882462,-123.044061,49.2716989
725882463,-123.043435,49.2885996
725882465,-123.052391,49.288845
725882466,-123.0226198,49.3123445
725882467,-123.104543,49.2629161
725882468,-123.056687,49.2844419
725882470,-123.095585,49.2625194
725882471,-123.0689986,49.2621991
725882472,-123.057602,49.2621285
725882473,-123.074259,49.2624018
725882475,-123.04407,49.2698257
725882476,-123.043976,49.2805171
725882477,-123.034816,49.3060666
725882480,-123.098074,49.2627242
725882481,-123.037351,49.3133013
725882483,-123.0441261,49.2660474
725882484,-123.0617165,49.2621507
725882485,-123.0769582,49.2622555
725882486,-123.004622,49.3258207
725882487,-123.0440867,49.267839
725882488,-123.043981,49.2785966
725882490,-123.0567581,49.273604399999996
725882492,-123.0438286,49.2618221
725882493,-123.039841,49.2617929
725882494,-123.0784944,49.2625115
725882495,-123.00464,49.3248355
725882497,-123.043948,49.2762671
725882502,-123.005144,49.3209937
725882503,-123.046694,49.2618863
725882504,-123.080824,49.2625125
725882505,-123.004993,49.3235328
725882507,-123.037594,49.3131573
725882508,-123.0474045,49.2888141
725882509,-123.056661,49.286314
725882510,-123.056747,49.2655646
725882511,-123.065182,49.2621703
725882512,-123.084762,49.2623434
725882513,-123.056733,49.277207
725882514,-123.004895,49.3185379
725882515,-123.004801,49.3211596
725882516,-123.049159,49.2619205
725882517,-123.073311,49.2622924
725882518,-123.00481,49.322896
725882519,-123.100412,49.2627933
725882520,-123.0566997,49.2807664
725882521,-123.056742,49.2674486
725882522,-123.0694576,49.2624533
725882523,-123.056807,49.2618571
725882524,-123.006966,49.3120669
725882525,-123.087702,49.2625766
725882527,-123.044009,49.2736118
725882529,-123.051475,49.261896
725882530,-123.013823,49.3111763
725882531,-123.1011703,49.2625717
725882533,-123.0567614,49.2691459
725882534,-123.092395,49.2624042
725882536,-123.0695704,49.2634438
725882537,-123.055407,49.2618981
725882538,-123.008167,49.3116599
726786176,-123.190208,49.2685318
726786177,-123.2007786,49.2688104
726786178,-123.185347,49.2685263
726786179,-123.1976284,49.2686881
726786181,-123.1859149,49.2666422
729440518,-123.191115,49.2636016
729440521,-123.182181,49.2643867
729440536,-123.212541,49.263963
729440542,-123.206334,49.2638644
729440547,-123.171628,49.2642255
729440568,-123.178253,49.2643312
729440580,-123.194588,49.2636813
729440581,-123.174404,49.2642753
729832617,-123.152857,49.254745
729832621,-123.151614,49.2512119
730355378,-123.205824,49.2580475
730355384,-123.212074,49.2582217
730355389,-123.193259,49.2579187
730355391,-123.16464,49.2574011
730355396,-123.167808,49.2575321
730355400,-123.187566,49.2578105
730355401,-123.175519,49.2576442
730355404,-123.178419,49.2576466
743060701,-123.2092858,49.2690869
743060723,-123.2114711,49.2689927
743060729,-123.2063879,49.2689154
743060745,-123.2064167,49.2690295
768406640,-123.115692,49.2633445
768406641,-123.114262,49.2630917
768417670,-123.13917000000001,49.2637221
768417671,-123.137203,49.2634798
806901507,-123.164132,49.2682089
806901508,-123.168955,49.2684755
822484883,-123.049107,49.2328703
871696056,-123.0448146,49.2077523
873330362,-123.00449,49.251402
913810758,-122.9483414,49.2000753
913811583,-122.9486102,49.2000345
913812164,-122.9488671,49.199949
913812836,-122.9491074,49.1998675
913813446,-122.94937469999999,49.1998015
913813985,-122.9496197,49.1997415
913814450,-122.9499176,49.1996413
913814839,-122.9501857,49.1995313
992235528,-123.117862,49.2827355
993323356,-123.1214828,49.284803
993326673,-123.134004,49.2929696
994915200,-123.1229828,49.2793763
994916966,-123.126938,49.2767783
994936875,-123.140303,49.267839
995628784,-123.12542,49.2873242
1001072175,-123.117454,49.3317057
1001073466,-123.119017,49.32626
1001091481,-123.135642,49.2937
1001092112,-123.133503,49.2922688
1001095593,-123.125078,49.286839
1001629832,-123.127105,49.2764492
1001648767,-123.130788,49.2908853
1002665455,-123.127831,49.288649
1002680660,-123.128226,49.275927
1002682409,-123.138984,49.2668685
1002682658,-123.138588,49.2667378
1003316772,-123.128594,49.289411
1005594367,-123.13185,49.291252
1006238197,-123.118286,49.282294
1006238910,-123.11841,49.2825492
1012595218,-123.125954,49.287671
1093632827,-123.0124889,49.2146308
1093632923,-123.020434,49.2147412
1223860670,-123.185243,49.2570642
1223860947,-123.184994,49.2567317
1223861266,-123.185316,49.2535929
1223861323,-123.185031,49.2531498
1223861345,-123.185061,49.2504328
1260309703,-123.168408,49.2642938
1262378177,-123.120227,49.2632094
1262378181,-123.122357,49.2634197
1294009224,-123.028569,49.305175
1294011660,-123.028755,49.3053464
1575119476,-123.129599,49.325771
1575119477,-123.128997,49.326505
1650973669,-123.128474,49.205915
1650984448,-123.182494,49.2302354
1650984451,-123.205012,49.2369986
1650998723,-122.9531152,49.217217
1665460245,-123.135843,49.2032965
1675185900,-123.1398,49.205038
1675222312,-123.130704,49.2043094
1675222373,-123.123902,49.207172
1677743191,-122.946453,49.2039356
1677835560,-123.163603,49.2346293
1677851095,-123.139127,49.2344084
1677853429,-123.123508,49.2336637
1677905065,-123.0651585,49.2326962
1677905072,-123.055898,49.2329202
1677913351,-123.0426176,49.2328689
1677916407,-123.012291,49.2324229
1677922988,-122.964124,49.2182998
1677923004,-122.9806614,49.2222081
1677930451,-122.950459,49.2191266
1677932227,-122.94272,49.2230635
1682496057,-123.13582,49.2036684
1682511159,-123.172518,49.2498661
1684216956,-123.13038,49.2105431
1684232463,-123.129889,49.2146651
1684232467,-123.130201,49.2148261
1684232473,-123.128745,49.219017
1684232479,-123.128476,49.2261911
1684290758,-123.059052,49.2072168
1684290842,-123.1032606,49.211571
1685422515,-122.997434,49.2075614
1686611068,-123.130012,49.2110224
1686621522,-123.1397,49.2273611
1686621524,-123.139679,49.2281543
1686622510,-123.1407,49.2342685
1686622516,-123.140486,49.2344292
1686622519,-123.139435,49.2348376
1686636429,-123.190526,49.2347035
1686636433,-123.167876,49.2348122
1686645808,-123.127324,49.2496562
1686653485,-123.116526,49.2330862
1686653502,-123.115881,49.2453591
1695780313,-123.174953,49.2286458
1695780314,-123.179648,49.2300711
1695780315,-123.179336,49.2302051
1702010329,-122.943691,49.2052783
1702085063,-123.1347,49.2267049
1702085077,-123.132297,49.2267675
1702085078,-123.139417,49.2268736
1702085082,-123.135514,49.2268796
1702085109,-123.14029,49.2270325
1702105239,-123.147661,49.2270064
1702105256,-123.150621,49.227045
1702105259,-123.147062,49.227119
1702105264,-123.158631,49.2271252
1702105272,-123.161001,49.2271636
1702105292,-123.152694,49.2271905
1702105300,-123.164778,49.2272309
1702105323,-123.1605,49.2272898
1702168208,-123.194065,49.2346744
1702168214,-123.192686,49.2348339
1702183514,-123.181563,49.2346882
1702191488,-123.166993,49.234642
1702191492,-123.17003,49.2346562
1702191496,-123.178259,49.2346838
1702201359,-123.163065,49.2347638
1702213246,-123.160941,49.2345828
1702272529,-123.151699,49.2344108
1702272537,-123.148135,49.2345327
1702278610,-123.132914,49.2340303
1702278619,-123.138537,49.2342181
1702310763,-123.128634,49.2213341
1702310768,-123.12833,49.2217579
1702315142,-122.947912,49.2029983
1702406317,-123.184496,49.2499277
1702418363,-123.162021,49.2485459
1702418365,-123.158858,49.2497616
1702422943,-123.115728,49.2486528
1702431621,-123.075165,49.2109051
1702431630,-123.116917,49.2215441
1704061472,-123.131003,49.2045346
1704177483,-123.1186929,49.2093105
1704197946,-123.1015337,49.2108156
1704197947,-123.090567,49.2108971
1704231338,-122.953142,49.2184873
1704261683,-122.972775,49.220207
1704915868,-122.9756,49.2208886
1704939332,-122.975854,49.2207076
1704974613,-122.983574,49.2233849
1712383311,-123.061751,49.2080916
1715717854,-122.9493955,49.1883021
1722586998,-123.187445,49.2634305
1722586999,-123.196538,49.2635568
1722605386,-123.173552,49.2640934
1722615990,-123.170827,49.2640539
1723405964,-123.14005,49.263505
1723435754,-123.123523,49.2632375
1723438404,-123.121273,49.2632335
1723548140,-123.076292,49.2622654
1723548169,-123.01209,49.2293005
1723548392,-123.080966,49.2623064
1723548398,-123.089537,49.2623954
1723557013,-122.946465,49.2210788
1723582166,-122.956864,49.2154331
1723582171,-122.953057,49.2174954
1724619352,-122.991188,49.2256265
1741579740,-123.124344,49.2760381
1746463404,-122.948077,49.2678924
1746463405,-122.94811,49.2680186
1746464085,-122.951121,49.2680264
1746464088,-122.953372,49.2681967
1746464099,-122.953809,49.2680277
1746464137,-122.95346,49.2677522
1746464138,-122.951701,49.2679145
1746466215,-122.953487,49.2800942
1753317119,-123.100635,49.2666122
1768206181,-123.025837,49.2220977
1768206207,-123.031577,49.2245612
1768206216,-123.045202,49.2246676
1844531648,-123.077283,49.3130385
1844531653,-123.075895,49.3143301
1844531683,-123.072696,49.3175217
1844531687,-123.072229,49.3202803
1844531689,-123.072199,49.3224196
1844531691,-123.072142,49.3244863
1844531693,-123.072127,49.3265403
1844531696,-123.072035,49.3286683
1844531721,-123.071957,49.3300151
1930121807,-123.023545,49.217844
1931866137,-123.064921,49.2400325
1931866140,-123.065523,49.2397452
1931866157,-123.064865,49.2398302
1931866308,-123.065143,49.2418773
1937560430,-123.065378,49.2425103
2017557858,-122.954068,49.2349239
2066275856,-122.963989,49.2588737
2066275864,-122.9640427,49.2586987
2066275869,-122.963967,49.2585867
2066275873,-122.963919,49.258753
2089368319,-123.072303,49.3297833
2089376579,-123.072343,49.3278964
2089379363,-123.072371,49.3258624
2089380583,-123.072425,49.3237646
2089385200,-123.072494,49.3217154
2089385298,-123.072537,49.3195755
2107318353,-122.993941,49.2264795
2107323520,-122.99411,49.2273246
2107356268,-122.989523,49.2253034
2107362792,-122.988481,49.2247328
2107376886,-122.985489,49.2240114
2107388006,-122.984084,49.2233319
2107505137,-122.992055,49.2261412
2107514896,-122.994011,49.2255571
2107518323,-122.9956484,49.2252899
2107524075,-122.9971856,49.2249004
2107531417,-122.997725,49.2240884
2107540212,-122.997263,49.2229789
