id,lon,lat
23673261,-123.0410738,49.3079214
61759314,-123.133503,49.1873581
71692703,-123.1365303,49.2726692
83338512,-123.149048,49.2679674
83338543,-123.1494389,49.2681964
83338558,-123.1464587,49.2681472
83338592,-123.1489414,49.2679653
83338597,-123.1473012,49.2683999
83338607,-123.148186,49.268178
83338659,-123.1509577,49.2679957
83338691,-123.1499819,49.2682073
89118744,-123.118431,49.2895934
102657227,-122.9547222,49.2190545
102927439,-123.1437092,49.326303
103943168,-123.019038,49.2655339
103943173,-123.0198098,49.2655241
108047636,-123.129949,49.2385083
118932487,-123.0720583,49.3249393
127018391,-122.9899658,49.2008645
129701608,-123.1116959,49.2421211
136052128,-123.1021837,49.2633862
146159924,-123.0455828,49.269176
158269691,-122.9904591,49.2258408
160298566,-123.0909463,49.2623636
165256983,-123.0731704,49.317652
165256994,-123.0731367,49.3175048
165273992,-123.0723731,49.3295562
165275388,-123.0781874,49.3143284
165351384,-123.0353041,49.3062594
165745621,-123.0789031,49.3121395
165791558,-123.0905873,49.3193205
218949206,-123.1294978,49.2936571
235018174,-123.1083099,49.2633253
241886802,-123.0460393,49.2579856
250247081,-123.1141662,49.2773032
261317067,-123.1089595,49.1877104
284517956,-123.0846563,49.2814713
289846713,-123.1008957,49.257705
289854325,-123.1012545,49.2485451
291856307,-123.0693897,49.274207
291871835,-123.0696213,49.2594361
292019218,-123.0694347,49.2720636
292377056,-123.1014343,49.2540793
292985102,-123.0742749,49.2490943
293135157,-123.0908899,49.2573539
295593128,-123.1017746,49.2681451
296079140,-123.090871,49.2290081
301874286,-123.1124346,49.2829614
301951368,-123.0805073,49.2808728
304289903,-123.0631147,49.280938
304291950,-123.0612991,49.2810532
305206585,-123.126082,49.2773782
309666267,-123.1243328,49.2638428
320168328,-123.065555,49.2739344
322873443,-122.948255,49.1912298
340379439,-123.0515634,49.2810233
349286379,-123.069711,49.2741298
356584776,-123.2099424,49.2637454
356996187,-123.0908954,49.2279218
357068435,-123.2090011,49.2632103
357739925,-123.1358324,49.186595
357808660,-123.0134962,49.2809338
368230323,-123.123835,49.3251617
368714590,-123.1194314,49.2847948
463386189,-123.1076228,49.3228577
527164888,-123.1151397,49.3238041
540887248,-123.0790946,49.3117248
541643883,-123.0306787,49.2153253
548645580,-123.0136416,49.2809144
679166184,-123.1011308,49.2643367
685998185,-123.1924355,49.2249694
887954517,-123.1257849,49.2767433
887987896,-123.1228918,49.284632
1022112537,-123.155488,49.328008
1177714168,-123.142845,49.2865905
482697087,-122.969768,49.2800699
482697092,-122.966568,49.2800457
513053838,-123.118737,49.2772564
524772576,-123.014025,49.2664116
582799005,-123.101204,49.2630345
582800962,-123.0967703,49.2629465
582801421,-123.1007434,49.2621476
582801777,-123.1018939,49.2567053
582801783,-123.101551,49.2558185
582801920,-123.100871,49.254976
582801947,-123.1010432,49.2555281
582802371,-123.0971626,49.2777282
638861822,-123.1328565,49.2741793
638861831,-123.1300681,49.2769504
644341993,-123.1760619,49.2643413
644342005,-123.1727212,49.2642766
644342018,-123.164402,49.2641587
644351081,-123.1447692,49.2639079
648735252,-123.1187278,49.2804472
649986553,-123.1172155,49.2854893
651045368,-123.1421144,49.263849
651057575,-123.1722925,49.26428
652955235,-123.122758,49.2750892
652955240,-123.120516,49.2757748
652955247,-123.119369,49.2765618
652956529,-123.1172381,49.2781459
683752561,-123.153753,49.274204
691132875,-123.1650598,49.2578148
700544596,-122.96902,49.2189528
700544602,-122.9694464,49.2190275
703754968,-123.109032,49.2842334
704317950,-123.127202,49.2635812
704317954,-123.109983,49.2632872
704317958,-123.1254837,49.263551
704317960,-123.117312,49.2634241
704317976,-123.1316944,49.2636456
704317980,-123.1130715,49.2633439
705752894,-123.0656861,49.2370452
712906224,-123.101696,49.2412795
721674467,-123.0659194,49.225037
724597025,-123.1532615,49.2613904
724597034,-123.1532374,49.2621248
724597036,-123.1532375,49.2623651
724597038,-123.1527502,49.2629899
729160303,-123.1182125,49.2631147
729193596,-123.1161172,49.2630555
731720705,-123.201754,49.275651
741850588,-123.149371,49.2193318
746837427,-123.003994,49.2424585
747517054,-123.008436,49.2311658
765295558,-123.1399405,49.23414
768411410,-123.141378,49.2638283
769458878,-123.13096,49.1916327
773916863,-123.1040678,49.2835819
778608339,-123.139231,49.190695
780840721,-123.1216282,49.2631506
793915415,-123.129926,49.279771
799580930,-123.029963,49.2397994
799580984,-123.0242721,49.2650465
811017701,-123.0978928,49.2792951
811017739,-123.118593,49.2803757
822484872,-123.064932,49.2361234
822484874,-123.065174,49.238342
822484878,-123.0657751,49.2338441
822487108,-123.101392,49.2579769
822487112,-123.1007457,49.2503562
852389649,-123.1358083,49.2711559
852397122,-123.1366509,49.2706361
852400346,-123.1363777,49.2707436
852420584,-123.134014,49.2719814
860711421,-123.1219802,49.2656103
860711504,-123.1223054,49.2657441
867623999,-122.9819222,49.2014501
867732262,-123.1316982,49.2805385
869234545,-123.1364258,49.2636948
870927044,-123.065574,49.2393603
872399736,-123.114616,49.257958
873505002,-123.0014254,49.2538725
874794362,-123.1016941,49.2412434
883748003,-123.1148332,49.2585083
883748049,-123.1152483,49.2589022
889758799,-123.1569284,49.2680378
894568279,-123.139986,49.269559
909859720,-123.002171,49.2807898
917878382,-123.1271262,49.263253
918960347,-123.1401391,49.2341725
920584096,-123.1458856,49.2678006
925662916,-123.0977955,49.2796947
925718883,-123.0994906,49.2798121
931897070,-123.13962,49.2634179
937792782,-123.1380707,49.2615783
937794489,-123.1399643,49.2634415
955334959,-123.1573309,49.2680441
955335869,-123.16698,49.2682325
