id,lat,lon,name
623808773,49.2764839,-122.9202581,Children's Adventure Playground
801565782,49.3198848,-122.962396,Indian River
832320896,49.1441454,-122.9330717,Spirea Meadow
931454235,49.2613438,-122.9182525,"""Teribithia"""
2606935213,49.177907,-122.7626665,Serpentine Fish Hatchery
4020781616,49.259836,-123.1215369,Vancouver General Hospital Playground
5837287097,49.3653745,-123.0984689,Grousewoods Park
7692741385,49.2785822,-122.977425,762's Field
7866754032,49.36386,-123.2588787,Nelson Creek Fish Hatchery
8163441848,49.163562,-122.8160681,
9035717745,49.2671967,-123.254072,Stephen Toope Gardens
17139572,49.2118122,-122.9272217,Moody Park
22824179,49.242335,-123.1042923,Riley Park
23102299,49.2153735,-123.0672675,Fraserview Park
23165846,49.2273662,-123.0180572,Central Park
23198534,49.2565738,-123.1715947,Carnarvon Park
23198536,49.2764491,-123.1423334,Vanier Park
23198539,49.2620553,-123.1601056,Connaught Park
23393985,49.2410856,-123.1118125,Queen Elizabeth Park
23489663,49.3208994,-123.0587929,Ray Perrault Park
23489841,49.3172687,-123.048794,Michael Park
23601242,49.0918891,-123.0822412,Ladner Lions Park
23603723,49.3227955,-123.1188327,Norgate Park
23612179,49.0925562,-123.0525809,Mountain View Park
23612186,49.0878326,-123.043635,Kensington Park
23612214,49.0838457,-123.0634012,Dugald Morrison Park
23716737,49.3109658,-123.0499146,Cloverley Park
23716768,49.3019142,-123.0381329,Harbourview Park
23716772,49.3062472,-123.0387105,Lynnmouth Park
23729815,49.3200971,-123.1142212,Anderwood Park
23729821,49.3178925,-123.1148134,Welch Park
23775276,49.091799,-123.0601959,Bell Park
23795220,49.3087417,-123.0529457,High Place Park
23798437,49.3275905,-123.0566295,Kealy Woods Park
23811275,49.3168723,-123.0734501,Victoria Park
23847507,49.0880758,-123.0560628,Association Park
23938892,49.0890368,-123.060102,Paterson Park
23948018,49.3355066,-123.1645893,Hay Park
23948853,49.3081715,-123.0196883,Seymour River Heritage Park
23954835,49.0876938,-123.0848216,Memorial Park
23972426,49.0846246,-123.0741051,Maple Crescent Park
24006720,49.3408132,-123.0708431,Carisbrook Park
24006794,49.3452738,-123.0521571,Braemar Park
24006935,49.3343695,-123.0927995,William Griffin Park
24006938,49.3375121,-123.0893492,Delbrook Park
24007091,49.347911,-123.0859032,Mosquito Creek Park
24007095,49.3291742,-123.0603187,Greenwood Park
24007106,49.3404131,-123.0832616,Evergreen Park
24034680,49.3466724,-123.1039033,Eldon Park
24034747,49.3472272,-123.099306,Mackay Creek Park
24394846,49.1864765,-123.0997383,Albert Airey Neighbourhood Park
24411145,49.093899,-123.0696798,Leslie Park
24589645,49.143006,-123.1116177,
24722731,49.096349,-122.8988653,John Oliver Park
24742018,49.121491,-122.8951085,Wade Road Park
24742171,49.1248249,-122.9122709,Sunshine Hills Park
24742173,49.1235646,-122.9216939,Westview Park
