id,latitude,longitude,price,minimum_nights,reviews_per_month,rate,num_bedroom,num_skytrain,num_bustop,num_restaurant,num_parks,num_market,dis_skytrain,dis_bustop,dis_restaurant,dis_parks,dis_market
37903923,49.22594,-123.05937,130,2,1.15,4.57,2,0,18,8,1,3,2253.82,94.37,372.28,233.77,404.68
37904804,49.23534,-123.10049,338,3,1.41,4.97,3,0,16,0,1,0,1195.7,86.8,566.7,334.06,967.53
37940015,49.25278,-123.08373,100,1,1.58,4.79,1,0,11,11,2,2,1463.66,157.79,59.59,322.3,165.46
38045142,49.28442,-123.13365,158,2,0.66,4.6,1,0,12,37,3,3,1012.54,211.19,206.18,321.12,282.45
38061672,49.25402,-123.04108,84,1,4.05,4.66,1,2,15,1,1,0,625.88,241.01,398.43,259.21,1711.02
38078881,49.27857,-123.10558,427,3,4.96,4.93,2,7,33,42,7,3,285.88,80.85,159.15,80.23,239.74
38094418,49.27319,-123.06933,365,2,0.7,4.96,3,0,9,41,4,3,1084.72,12.68,20.42,93.89,200.37
38131507,49.25319,-123.08629,125,5,1.15,4.92,1,0,12,17,2,2,1498.11,157.84,231.2,445.82,356.03
38194421,49.27812,-123.1284,140,31,0.51,5.0,1,2,34,73,3,6,617.0,68.46,61.52,318.71,211.71
38242671,49.23529,-123.03426,103,1,2.09,4.9,1,1,30,32,4,3,390.07,42.98,157.07,244.71,280.16
38243178,49.23119,-123.12707,102,1,5.82,4.74,1,2,12,1,1,0,790.04,109.37,484.65,270.91,1913.9
38266089,49.27865,-123.02857,88,1,0.18,4.88,1,0,22,2,1,0,1873.7,128.88,296.21,338.62,767.89
38295080,49.25139,-123.07425,250,2,0.4,5.0,4,0,19,17,1,3,1221.51,161.43,182.3,419.77,306.13
38300376,49.28141,-123.04643,99,3,0.13,4.83,2,0,10,7,3,0,2496.51,42.13,60.81,335.65,680.36
38330474,49.27979,-123.1068,247,3,2.83,4.59,1,8,37,54,9,4,187.29,28.78,48.1,130.43,98.36
38411887,49.25609,-123.15126,119,2,0.51,4.74,1,0,13,1,0,1,2683.97,136.71,347.76,593.16,235.55
38413580,49.27104,-123.16504,333,3,2.2,4.91,2,0,13,9,5,0,3153.52,195.5,289.73,193.37,646.6
38438601,49.28162,-123.12332,250,30,0.16,3.57,2,7,40,93,6,5,353.24,119.33,31.62,223.82,134.08
38488766,49.23532,-123.16411,86,4,2.33,4.41,1,0,9,9,1,2,3456.68,85.17,182.6,180.86,302.3
38493255,49.27394,-123.12686,47,1,0.34,4.43,1,1,25,55,6,6,365.57,38.28,42.87,241.89,93.62
38522586,49.23764,-123.16006,887,4,0.24,4.71,4,0,12,15,2,2,3193.28,325.89,320.98,439.03,308.23
38599344,49.27748,-123.1282,239,13,0.23,4.5,2,2,35,80,3,6,561.78,83.72,57.93,308.32,180.32
38599663,49.25226,-123.07141,130,2,3.41,4.82,1,0,16,12,0,2,1079.48,324.42,364.56,510.72,429.25
38679230,49.27649,-123.12071,498,2,1.16,4.96,2,4,32,107,7,7,233.77,176.31,39.28,140.98,217.57
38762538,49.28049,-123.12481,179,30,0.24,5.0,1,5,37,98,5,4,499.6,95.38,31.28,104.61,191.85
38817452,49.28854,-123.12238,259,30,0.16,5.0,2,6,30,71,6,3,372.62,53.49,35.91,203.33,74.93
38821207,49.28224,-123.08339,247,1,5.5,4.78,2,0,15,4,0,0,1412.26,126.37,125.47,528.62,570.49
38847417,49.28027,-123.11644,175,30,0.29,5.0,1,8,47,76,7,5,291.74,82.45,76.18,201.85,77.07
38872940,49.28029,-123.12281,239,1,3.65,4.59,1,6,45,106,5,4,388.38,82.81,58.14,251.37,200.44
38880792,49.26615,-123.057,220,3,1.85,4.99,1,1,12,7,1,0,906.75,67.63,351.03,266.93,842.14
